id,qname,namespace,local_name,xbrl_type,full_type,substitution_group,period_type,abstract,nillable,balance,preferred_label_role,is_dimension,is_typed_dimension,typed_domain_type,is_analysis_dimension,is_grouping_dimension
0164d68b-69fd-4f9d-b039-5332ab12a862,core:OptionContractPurchased,http://xbrl.frc.org.uk/fr/2023-01-01/core,OptionContractPurchased,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01752de5-6105-47b0-b466-20b1b2ff81d0,core:TaxRateIncreaseDecreaseFromTransferPricingAdjustments,http://xbrl.frc.org.uk/fr/2023-01-01/core,TaxRateIncreaseDecreaseFromTransferPricingAdjustments,pureItemType,num:percentItemType,xbrli:item,duration,false,true,,,false,false,,false,false
01764a99-ce3b-4b6b-87be-20b87e15f3e5,core:FurtherRelatedPartyRelationshipType2ComponentAllOtherRelatedParties,http://xbrl.frc.org.uk/fr/2023-01-01/core,FurtherRelatedPartyRelationshipType2ComponentAllOtherRelatedParties,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
017f0646-ea2e-4ade-b29b-a64d9435c604,countries:PalestinianState,http://xbrl.frc.org.uk/cd/2023-01-01/countries,PalestinianState,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
017fa078-5640-473e-a60f-35c39fdcaf50,core:WeightedAverageExercisePriceEquityInstrumentsTransferredInFromOutToGroupEntitiesShare-basedPaymentArrangement,http://xbrl.frc.org.uk/fr/2023-01-01/core,WeightedAverageExercisePriceEquityInstrumentsTransferredInFromOutToGroupEntitiesShare-basedPaymentArrangement,decimalItemType,num:perShareItemType,xbrli:item,duration,false,true,,,false,false,,false,false
01816fbe-575c-4d30-8488-794e2e5a52f4,core:NumberSharesIssuedSpecificShareIssue,http://xbrl.frc.org.uk/fr/2023-01-01/core,NumberSharesIssuedSpecificShareIssue,sharesItemType,xbrli:sharesItemType,xbrli:item,duration,false,true,,,false,false,,false,false
018b7f14-dd0f-402c-810b-c1c02053877f,core:TaxExpenseCreditApplicableTaxRate,http://xbrl.frc.org.uk/fr/2023-01-01/core,TaxExpenseCreditApplicableTaxRate,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
01913e0f-c04c-4806-a5f8-408449b97cc8,core:ProductionManufacturingExpense,http://xbrl.frc.org.uk/fr/2023-01-01/core,ProductionManufacturingExpense,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
01aa62f4-183d-4857-88a1-9404e32b016c,core:VotingPowerInAssociateIfDifferentFromOwnershipInterestPercent,http://xbrl.frc.org.uk/fr/2023-01-01/core,VotingPowerInAssociateIfDifferentFromOwnershipInterestPercent,pureItemType,num:percentItemType,xbrli:item,duration,false,true,,,false,false,,false,false
01af586a-6c0d-4e04-8c98-3afeaa4e2c58,core:DividendsPaidOnRedeemablePreferenceSharesClassifiedAsFinancingActivities,http://xbrl.frc.org.uk/fr/2023-01-01/core,DividendsPaidOnRedeemablePreferenceSharesClassifiedAsFinancingActivities,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
01af7101-0f94-48f0-b96a-5fe0dc8660db,bus:Non-cumulativeRedeemableShares,http://xbrl.frc.org.uk/cd/2023-01-01/business,Non-cumulativeRedeemableShares,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01b1ace6-f732-4dfc-810a-599a10c78d8d,core:GrossContractualAmountsReceivableForAcquiredReceivables,http://xbrl.frc.org.uk/fr/2023-01-01/core,GrossContractualAmountsReceivableForAcquiredReceivables,monetaryItemType,xbrli:monetaryItemType,xbrli:item,instant,false,true,debit,,false,false,,false,false
01b73c76-a69b-4a21-8c5f-fc857be880ba,lang:Albanian,http://xbrl.frc.org.uk/cd/2023-01-01/languages,Albanian,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01bc6d92-9113-441c-bae3-cc04bd1b1003,core:FurtherItemIncreaseDecreaseInAmortisationImpairmentIntangibleAssetsComponentCorrespondingTotal,http://xbrl.frc.org.uk/fr/2023-01-01/core,FurtherItemIncreaseDecreaseInAmortisationImpairmentIntangibleAssetsComponentCorrespondingTotal,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
01bec3cd-d9a5-4bf1-84dc-bcebe150c9e3,core:BorrowingCostsIncludedInCostQualifyingAssets,http://xbrl.frc.org.uk/fr/2023-01-01/core,BorrowingCostsIncludedInCostQualifyingAssets,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
01c99a24-6be9-47a1-98c1-6ed936f23e3b,core:BusinessDivestitureDecreaseInDepreciationImpairmentBiologicalAssetsCostModel,http://xbrl.frc.org.uk/fr/2023-01-01/core,BusinessDivestitureDecreaseInDepreciationImpairmentBiologicalAssetsCostModel,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,debit,,false,false,,false,false
01ec2aaa-4926-4647-a686-90d9bebc02f8,countries:CapeVerde,http://xbrl.frc.org.uk/cd/2023-01-01/countries,CapeVerde,stringItemType,nonnum:domainItemType,xbrli:item,duration,true,true,,,false,false,,false,false
01f6b75e-040d-4fed-ba90-6e94eb280d30,core:IncreaseDecreaseInExistingProvisionsRecognisedInOtherComprehensiveIncome,http://xbrl.frc.org.uk/fr/2023-01-01/core,IncreaseDecreaseInExistingProvisionsRecognisedInOtherComprehensiveIncome,monetaryItemType,xbrli:monetaryItemType,xbrli:item,duration,false,true,credit,,false,false,,false,false
