qname,path_count,parent_count,total_occurrences
core:Share-basedPaymentExpenseEquitySettled,6,4,6
core:RedundancyCosts,5,3,5
core:TreasuryOtherEligibleBillsHeld,5,3,5
core:TaxationIncludingDeferredTaxationBalanceSheetSubtotal,5,3,5
core:AmountsOwedToGroupUndertakings,5,3,5
core:OtherCreditorsIncludingTaxationSocialSecurityBalanceSheetSubtotal,5,3,5
core:RawMaterialsConsumablesUsed,5,3,5
core:OtherProvisionsBalanceSheetSubtotal,5,3,5
core:TradeCreditorsTradePayables,5,3,5
core:MaintenanceReserve,5,3,5
core:AmountsOwedToAssociatesJointVenturesParticipatingInterests,5,3,5
core:Debtors,5,3,5
core:Equity,5,5,5
core:OffPayrollWorkingExpense,5,3,5
core:DebtSecuritiesInIssue,5,3,5
core:BillsExchangePayable,5,3,5
core:SecurityDeposit,5,3,5
core:PaymentsReceivedOnAccount,5,3,5
core:CashBankOnHand,5,3,5
core:SocialSecurityCosts,5,3,5
core:SubordinatedLiabilities,5,3,5
core:InvestmentProperty,5,3,5
core:StatementThatNoControllingPartiesExist,4,2,4
core:TotalAssetsUnderOperatingLeasesDefault,4,2,4
core:EquitySecuritiesPledgedAsCollateral,4,2,4
core:InventoryWrite-downExpenseGross,4,2,4
core:TotalTaxDefault,4,2,4
core:InvestmentsFixedAssets,4,2,4
core:TreasuryOtherBillsHeldPledgedAsCollateral,4,2,4
core:InvestmentsInAssociatesMeasuredFairValue,4,2,4
core:InvestmentsInJointVenturesMeasuredFairValue,4,2,4
core:UnearnedFinanceIncomeOnFinanceLeases,4,2,4
core:InvestmentsInOtherEntitiesMeasuredFairValue,4,2,4
core:InvestmentsInSubsidiariesMeasuredFairValue,4,2,4
core:UseContinuingDiscontinuedDimensionToIdentifyContinuedDiscontinuedHeldForSaleValuesGuidance,4,4,4
core:UseContinuingDiscontinuedDimensionToIdentifyHeldForSaleValuesGuidance,4,2,4
core:FinancialAssetsDesignatedFairValueThroughOtherComprehensiveIncome,4,2,4
core:UseEquityClassesHeldDimensionToIdentifyClassShareHeldGuidance,4,2,4
core:FinancialAssetsMandatorilyMeasuredFairValueThroughOtherComprehensiveIncome,4,2,4
core:UseInvestmentsMovementsDimensionToIdentifyChangesInInvestmentsProvisionsDuringPeriodGuidance,4,4,4
core:ContingentConsiderationForBusinessCombination,4,2,4
core:AdditionalBorrowingsInformationHeading,4,2,4
core:ContingentRentsOnFinanceLeasesRecognisedAsIncome,4,2,4
core:ContingentRentsOnOperatingLeasesRecognisedAsIncome,4,2,4
core:UseShareTypesDimensionToIdentifyTypeShareGuidance,4,2,4
core:ConvertibleBondsInIssue,4,2,4
core:WasteDisposal,4,2,4
curr:AfghanAfghani,4,2,4
curr:AlbanianLek,4,2,4
curr:AlgerianDinar,4,2,4
curr:AngolanKwanza,4,2,4
curr:ArgentinePeso,4,2,4
curr:ArmenianDram,4,2,4
curr:ArubanFlorin,4,2,4
curr:AustralianDollar,4,2,4
curr:AzerbaijanianManat,4,2,4
curr:BahamianDollar,4,2,4
curr:BahrainiDinar,4,2,4
curr:BangladeshiTaka,4,2,4
curr:BarbadosDollar,4,2,4
curr:BelarussianRuble,4,2,4
curr:BelizeDollar,4,2,4
curr:BermudianDollar,4,2,4
curr:BhutanNgultrum,4,2,4
curr:BolivianBoliviano,4,2,4
curr:BolivianMvdol,4,2,4
curr:BosniaHerzegovinaConvertibleMark,4,2,4
curr:BotswanaPula,4,2,4
curr:BrazilianReal,4,2,4
curr:BruneiDollar,4,2,4
curr:BulgarianLev,4,2,4
curr:BurundianFranc,4,2,4
curr:CambodianRiel,4,2,4
curr:CapeVerdeEscudo,4,2,4
curr:CaymanIslandsDollar,4,2,4
curr:CFAFrancBCEAO,4,2,4
curr:CFAFrancBEAC,4,2,4
curr:CFPFrancPacificFranc,4,2,4
curr:ChileanPeso,4,2,4
curr:ChineseYuanRenminbi,4,2,4
curr:ColombianPeso,4,2,4
curr:ComoroFranc,4,2,4
curr:CongoleseFranc,4,2,4
curr:CostaRicanColon,4,2,4
curr:CroatianKuna,4,2,4
curr:CubanConvertiblePeso,4,2,4
curr:CubanPeso,4,2,4
curr:CzechKoruna,4,2,4
curr:DanishKrone,4,2,4
curr:DjiboutianFranc,4,2,4
curr:DominicanPeso,4,2,4
curr:EastCaribbeanDollar,4,2,4
curr:EgyptianPound,4,2,4
curr:EritreanNakfa,4,2,4
curr:EstonianKroon,4,2,4
curr:EthiopianBirr,4,2,4
curr:EuropeanCompositeUnitEURCO,4,2,4
curr:EuropeanMonetaryUnitEMU-6,4,2,4
curr:EuropeanUnitAccount17EUA-17,4,2,4
curr:EuropeanUnitAccount9EUA-9,4,2,4
curr:FalklandIslandsPound,4,2,4
curr:FijiDollar,4,2,4
core:ConvertiblePreferenceSharesLiability,4,2,4
curr:GambianDalasi,4,2,4
curr:GeorgianLari,4,2,4
curr:GhanaianCedi,4,2,4
curr:GibraltarPound,4,2,4
curr:GoldOneTroyOunce,4,2,4
curr:GuatemalanQuetzal,4,2,4
curr:GuineanFranc,4,2,4
curr:GuyanaeseDollar,4,2,4
curr:HaitianGourde,4,2,4
curr:HondurasLempira,4,2,4
curr:HongKongDollar,4,2,4
curr:HungarianForint,4,2,4
curr:IcelandKrona,4,2,4
curr:IndianRupee,4,2,4
curr:IndonesianRupiah,4,2,4
curr:IranianRial,4,2,4
curr:IraqiDinar,4,2,4
curr:IsraeliNewSheqel,4,2,4
curr:JamaicanDollar,4,2,4
curr:JordanianDinar,4,2,4
curr:KazakhstaniTenge,4,2,4
curr:KenyanShilling,4,2,4
curr:KuwaitiDinar,4,2,4
curr:KyrgyzstaniSom,4,2,4
curr:LaoKip,4,2,4
curr:LatvianLats,4,2,4
curr:LebanesePound,4,2,4
curr:LesothoLoti,4,2,4
curr:LiberianDollar,4,2,4
curr:LibyanDinar,4,2,4
curr:LithuanianLitas,4,2,4
curr:MacanesePataca,4,2,4
curr:MacedonianDenar,4,2,4
core:ForDirectorsRemunerationSeeEmployeeBenefitsOtherEmployeeInformationSectionCross-reference,4,2,4
curr:MalagasyAriary,4,2,4
curr:MalawianKwacha,4,2,4
curr:MalaysianRinggit,4,2,4
curr:MaldivesRufiyaa,4,2,4
curr:MauritanianOuguiya,4,2,4
curr:MauritiusRupee,4,2,4
curr:MexicanPeso,4,2,4
curr:MexicanUnidadDeInversionUID,4,2,4
curr:MoldovanLeu,4,2,4
curr:MongolianTugrik,4,2,4
curr:MoroccanDirham,4,2,4
curr:MozambicanMetical,4,2,4
curr:MyanmaKyat,4,2,4
curr:NamibianDollar,4,2,4
curr:NepaleseRupee,4,2,4
curr:NetherlandsAntillianGuilder,4,2,4
curr:NewZealandDollar,4,2,4
curr:NicaraguanCordoba,4,2,4
curr:NigerianNaira,4,2,4
curr:NorthKoreanWon,4,2,4
curr:NorwegianKrone,4,2,4
curr:OmaniRial,4,2,4
curr:PakistanRupee,4,2,4
curr:PalladiumOneTroyOunce,4,2,4
curr:PanamanianBalboa,4,2,4
curr:PapuaNewGuineanKina,4,2,4
curr:ParaguayanGuarani,4,2,4
curr:PeruvianNuevoSol,4,2,4
curr:PhilippinePeso,4,2,4
curr:PlatinumOneTroyOunce,4,2,4
curr:PolishZloty,4,2,4
curr:QatariRial,4,2,4
curr:RomanianNewLeu,4,2,4
curr:RussianRuble,4,2,4
curr:RwandaFranc,4,2,4
curr:SaintHelenaPound,4,2,4
curr:SamoanTala,4,2,4
curr:SãoToméPríncipeDobra,4,2,4
curr:SaudiRiyal,4,2,4
curr:SDRSpecialDrawingRights,4,2,4
curr:SerbianDinar,4,2,4
curr:SeychellesRupee,4,2,4
curr:SierraLeonianLeone,4,2,4
curr:SilverOneTroyOunce,4,2,4
curr:SingaporeDollar,4,2,4
curr:SolomonIslandsDollar,4,2,4
curr:SomaliShilling,4,2,4
curr:SouthAfricanRand,4,2,4
curr:SouthKoreanWon,4,2,4
curr:SouthSudanesePound,4,2,4
curr:SriLankaRupee,4,2,4
curr:SudanesePound,4,2,4
curr:SurinameseDollar,4,2,4
