qname,path_count,parent_count,total_occurrences
core:Subsidiary130,2,2,2
core:Subsidiary131,2,2,2
core:Subsidiary132,2,2,2
core:Subsidiary133,2,2,2
core:Subsidiary134,2,2,2
core:Subsidiary135,2,2,2
core:Subsidiary136,2,2,2
core:Subsidiary137,2,2,2
core:Subsidiary138,2,2,2
core:Subsidiary139,2,2,2
core:Subsidiary14,2,2,2
core:Subsidiary140,2,2,2
core:Subsidiary141,2,2,2
core:Subsidiary142,2,2,2
core:Subsidiary143,2,2,2
core:Subsidiary144,2,2,2
core:Subsidiary145,2,2,2
core:Subsidiary146,2,2,2
core:Subsidiary147,2,2,2
core:Subsidiary148,2,2,2
core:Subsidiary149,2,2,2
core:Subsidiary15,2,2,2
core:Subsidiary150,2,2,2
core:Subsidiary151,2,2,2
core:Subsidiary152,2,2,2
core:Subsidiary153,2,2,2
core:Subsidiary154,2,2,2
core:Subsidiary155,2,2,2
core:Subsidiary156,2,2,2
core:Subsidiary157,2,2,2
core:Subsidiary158,2,2,2
core:Subsidiary159,2,2,2
core:Subsidiary16,2,2,2
core:Subsidiary160,2,2,2
core:Subsidiary161,2,2,2
core:Subsidiary162,2,2,2
core:Subsidiary163,2,2,2
core:Subsidiary164,2,2,2
core:Subsidiary165,2,2,2
core:Subsidiary166,2,2,2
core:Subsidiary167,2,2,2
core:Subsidiary168,2,2,2
core:Subsidiary169,2,2,2
core:Subsidiary17,2,2,2
core:Subsidiary170,2,2,2
core:Subsidiary171,2,2,2
core:Subsidiary172,2,2,2
core:Subsidiary173,2,2,2
core:Subsidiary174,2,2,2
core:Subsidiary175,2,2,2
core:Subsidiary176,2,2,2
core:Subsidiary177,2,2,2
core:Subsidiary178,2,2,2
core:Subsidiary179,2,2,2
core:Subsidiary18,2,2,2
core:Subsidiary180,2,2,2
core:Subsidiary181,2,2,2
core:Subsidiary182,2,2,2
core:Subsidiary183,2,2,2
core:Subsidiary184,2,2,2
core:Subsidiary185,2,2,2
core:Subsidiary186,2,2,2
core:Subsidiary187,2,2,2
core:Subsidiary188,2,2,2
core:Subsidiary189,2,2,2
core:Subsidiary19,2,2,2
core:Subsidiary190,2,2,2
core:Subsidiary191,2,2,2
core:Subsidiary192,2,2,2
core:Subsidiary193,2,2,2
core:Subsidiary194,2,2,2
core:Subsidiary195,2,2,2
core:Subsidiary196,2,2,2
core:Subsidiary197,2,2,2
core:Subsidiary198,2,2,2
